dept,cxjh,jzAbort,jzFin,jzTotal,wdAbort,wdFin,wdTotal,xyAbort,xyFin,xyTotal,AbortCount,TotalCount,AbortRadio
材料科学系,5,1,23,24,7,18,25,1,32,33,9,87,0.103448276
法学院,0,2,4,6,5,18,23,3,71,74,10,103,0.097087379
高分子科学系,5,3,16,19,12,31,43,2,30,32,17,99,0.171717172
公共卫生学院,0,0,10,10,5,21,26,6,23,29,11,65,0.169230769
管理学院,0,0,12,12,12,27,39,9,27,36,21,87,0.24137931
国际关系与公共事务学院,0,1,2,3,10,11,21,1,28,29,12,53,0.226415094
核科学与技术系,0,0,1,1,0,0,0,0,20,20,0,21,0
护理学院,0,0,0,0,0,1,1,0,12,12,0,13,0
化学系,9,9,41,50,26,55,81,4,42,46,40,186,0.215053763
环境科学与工程系,2,0,6,6,4,7,11,8,25,33,12,52,0.230769231
计算机科学技术学院,0,10,49,59,19,33,52,3,29,32,32,143,0.223776224
经济学院,0,3,22,25,15,40,55,2,44,46,20,126,0.158730159
力学与工程科学系,3,3,12,15,15,17,32,3,28,31,22,81,0.271604938
历史学系,0,4,13,17,19,24,43,1,25,26,24,86,0.279069767
旅游学系,0,0,4,4,3,3,6,3,19,22,6,32,0.1875
软件学院,0,1,4,5,2,16,18,0,34,34,3,57,0.052631579
上海医学院,1,5,33,38,10,37,47,2,36,38,18,124,0.14516129
社会发展与公共政策学院,0,3,5,8,20,22,42,6,13,19,29,69,0.420289855
生命科学学院,5,19,48,67,22,27,49,4,39,43,46,164,0.280487805
数学科学学院,3,2,19,21,11,11,22,11,20,31,25,77,0.324675325
外国语言文学学院,0,0,8,8,4,14,18,1,20,21,5,47,0.106382979
文物与博物馆学系,5,2,13,15,10,20,30,2,23,25,14,75,0.186666667
物理学系,0,10,51,61,9,11,20,14,20,34,33,115,0.286956522
新闻学院,0,1,2,3,12,10,22,14,0,14,27,39,0.692307692
信息科学与工程学院,5,5,19,24,21,37,58,23,51,74,51,161,0.316770186
药学院,5,0,9,9,5,31,36,2,29,31,7,81,0.086419753
哲学学院,0,0,4,4,9,12,21,5,21,26,14,51,0.274509804
中国语言文学系,0,1,2,3,8,22,30,4,39,43,13,76,0.171052632
